product_content_id,product_content_name,category_id,category_name,subcategory_name,business_unit_id,business_unit_name,color,price,create_date,update_date
52263469,Yağı Alınmamış Tam Gül Suyu,1822,Tonik,Tonik,100172,Cilt Bakım,UNKNOWN,13.216076999999999,2021-02-18 01:40:40,2021-02-18 01:40:40
31677898,Çay Ağacı Yüz Toniği 250ml,1822,Tonik,Tonik,100172,Cilt Bakım,UNKNOWN,51.55061,2021-02-16 00:20:13,2021-02-16 00:20:13
35048127,Makas Çantası Çanta - Kanatlı Makas Çantası - ( 8 Ad. Makas Kapasiteli ) ( Kuaför Çantası Kuaför ),2240,Cımbız,Cımbız,100172,Cilt Bakım,UNKNOWN,29.54101,2021-02-16 08:00:16,2021-02-16 08:00:16
35541744,Foot Works Yoğun Nemlendirici Ayak Kremi 150 Ml.,2360,Ayak Kremi,Ayak Kremi,100172,Cilt Bakım,UNKNOWN,5.811909999999999,2021-02-15 08:20:35,2021-02-15 08:20:35
3748250,Sa Renewing Foot Cream 88 Ml - Yenileyici Ayak Kremi,2360,Ayak Kremi,Ayak Kremi,100172,Cilt Bakım,UNKNOWN,30.916610000000002,2021-02-16 07:00:54,2021-02-16 07:00:54
37626092,Bio Asia Ayak Topuk Törpüsü - 07,2360,Ayak Kremi,Ayak Kremi,100172,Cilt Bakım,UNKNOWN,4.8145999999999995,2021-02-19 21:00:18,2021-02-19 21:00:18
4639497,Foot Works Aloe Vera ve Glikolik Asitli Ayak Maskesi 5050136589042,2360,Ayak Kremi,Ayak Kremi,100172,Cilt Bakım,UNKNOWN,8.563109999999998,2021-02-17 10:40:14,2021-02-17 10:40:14
4449865,Kolajen Arttırıcı Besleyici ve Canlandırıcı Cilt Bakım Serumu 20 ml 8682079030106,739,Cilt Serumu,Cilt Serumu,100172,Cilt Bakım,UNKNOWN,27.477610000000002,2021-02-19 21:20:14,2021-02-19 21:20:14
35307220,Superserum Saf Vıtamın C 30 ml,739,Cilt Serumu,Cilt Serumu,100172,Cilt Bakım,UNKNOWN,23.206372,2021-02-16 08:40:21,2021-02-16 08:40:21
31077032,Hya Hyaluronik Asit Ampul 4040943001121,739,Cilt Serumu,Cilt Serumu,100172,Cilt Bakım,UNKNOWN,20.11815,2021-02-15 04:00:19,2021-02-15 04:00:19
78013572,X-treme Whitening Cilt Lekelerini Açıcı Serum 30 ml,739,Cilt Serumu,Cilt Serumu,100172,Cilt Bakım,UNKNOWN,67.7483,2021-02-17 16:22:29,2021-02-17 16:22:29
34414037,Q10 Kırışık Önleyici Bakım Ampulleri,739,Cilt Serumu,Cilt Serumu,100172,Cilt Bakım,UNKNOWN,17.16061,2021-02-18 02:40:41,2021-02-18 02:40:41
1956116,Eurofresh 3 Yaş Üzeri Çocuklar için Çilek Aromalı Diş Macunu- Little Kids 50 g 8690131674311,626,Diş Macunu,Diş Macunu,100172,Cilt Bakım,UNKNOWN,4.467261,2021-02-14 12:41:04,2021-02-14 12:41:04
70352604,Bb Krem,610,BB & CC Krem,BB & CC Krem,100172,Cilt Bakım,krem,41.23361,2021-02-18 11:40:16,2021-02-18 11:40:16
33000442,Triderm Lenil Cream 50 ml,610,BB & CC Krem,BB & CC Krem,100172,Cilt Bakım,NoColor-552bbef5,41.347097,2021-02-19 18:40:44,2021-02-19 18:40:44
31798459,Dd Cilt Beyazlaştırıcı Cream 100ml 5751859,610,BB & CC Krem,BB & CC Krem,100172,Cilt Bakım,No Color,10.282609999999998,2021-02-18 05:40:14,2021-02-18 05:40:14
